Executable,Grid Size,MPI Ranks,Execution Time
jacobi-serial-fortran,100,1,1.430
jacobi-serial-fortran,100,2,2.547
jacobi-serial-fortran,100,4,1.351
jacobi-serial-fortran,100,6,1.453
jacobi-serial-fortran,100,8,1.496
jacobi-serial-fortran,100,12,1.575
jacobi-serial-fortran,100,16,1.590
jacobi-serial-fortran,100,20,1.664
jacobi-serial-fortran,100,24,2.594
jacobi-serial-fortran,100,28,1.686
jacobi-serial-fortran,100,32,1.771
jacobi-serial-fortran,200,1,13.641
jacobi-serial-fortran,200,2,13.563
jacobi-serial-fortran,200,4,13.975
jacobi-serial-fortran,200,6,13.898
jacobi-serial-fortran,200,8,14.487
jacobi-serial-fortran,200,12,14.569
jacobi-serial-fortran,200,16,14.893
jacobi-serial-fortran,200,20,14.919
jacobi-serial-fortran,200,24,14.917
jacobi-serial-fortran,200,28,14.776
jacobi-serial-fortran,200,32,14.663
jacobi-serial-fortran,300,1,53.477
jacobi-serial-fortran,300,2,53.571
jacobi-serial-fortran,300,4,55.425
jacobi-serial-fortran,300,6,55.257
jacobi-serial-fortran,300,8,56.417
jacobi-serial-fortran,300,12,57.562
jacobi-serial-fortran,300,16,58.545
jacobi-serial-fortran,300,20,58.796
jacobi-serial-fortran,300,24,58.630
jacobi-serial-fortran,300,28,58.085
jacobi-serial-fortran,300,32,58.345
jacobi-mpi-block-fortran,100,1,1.1789503920000000
jacobi-mpi-block-fortran,100,2,0.64035449000000000
jacobi-mpi-block-fortran,100,4,0.38907311900000002
jacobi-mpi-block-fortran,100,6,0.33984992200000003
jacobi-mpi-block-fortran,100,8,0.30848063999999997
jacobi-mpi-block-fortran,100,12,0.31317516199999995
jacobi-mpi-block-fortran,100,16,0.37297857000000001
jacobi-mpi-block-fortran,100,20,0.43063686599999995
jacobi-mpi-block-fortran,100,24,0.47731139800000000
jacobi-mpi-block-fortran,100,28,0.77695130899999998
jacobi-mpi-block-fortran,100,32,0.62378873600000007
jacobi-mpi-block-fortran,200,1,13.579534983000000
jacobi-mpi-block-fortran,200,2,6.9351251969999996
jacobi-mpi-block-fortran,200,4,3.7095008350000001
jacobi-mpi-block-fortran,200,6,2.7024000440000000
jacobi-mpi-block-fortran,200,8,2.2505779840000000
jacobi-mpi-block-fortran,200,12,1.8552678469999999
jacobi-mpi-block-fortran,200,16,1.7908778940000001
jacobi-mpi-block-fortran,200,20,1.9115342010000000
jacobi-mpi-block-fortran,200,24,1.9223501839999999
jacobi-mpi-block-fortran,200,28,2.1160558049999998
jacobi-mpi-block-fortran,200,32,2.2668481400000000
