Executable,Grid Size,MPI Ranks,Execution Time
jacobi-serial-fortran,100,1,1.302
jacobi-serial-fortran,100,2,1.318
jacobi-serial-fortran,100,4,1.323
jacobi-serial-fortran,100,6,1.433
jacobi-serial-fortran,100,8,1.448
jacobi-serial-fortran,100,12,1.466
jacobi-serial-fortran,100,16,1.502
jacobi-serial-fortran,100,20,1.540
jacobi-serial-fortran,100,24,1.606
jacobi-serial-fortran,100,28,1.664
jacobi-serial-fortran,100,32,1.766
jacobi-serial-fortran,200,1,13.571
jacobi-serial-fortran,200,2,13.532
jacobi-serial-fortran,200,4,13.526
jacobi-serial-fortran,200,6,13.669
jacobi-serial-fortran,200,8,13.683
jacobi-serial-fortran,200,12,13.690
jacobi-serial-fortran,200,16,14.718
jacobi-serial-fortran,200,20,13.763
jacobi-serial-fortran,200,24,13.803
jacobi-serial-fortran,200,28,14.645
jacobi-serial-fortran,200,32,15.080
jacobi-serial-fortran,300,1,53.455
jacobi-serial-fortran,300,2,53.436
jacobi-serial-fortran,300,4,53.493
jacobi-serial-fortran,300,6,53.658
jacobi-serial-fortran,300,8,53.654
jacobi-serial-fortran,300,12,53.618
jacobi-serial-fortran,300,16,53.680
jacobi-serial-fortran,300,20,53.629
jacobi-serial-fortran,300,24,53.889
jacobi-serial-fortran,300,28,57.323
jacobi-serial-fortran,300,32,59.144
jacobi-mpi-block-fortran,100,1,1.1798000420000001
jacobi-mpi-block-fortran,100,2,0.63665965800000002
jacobi-mpi-block-fortran,100,4,0.38405124499999999
jacobi-mpi-block-fortran,100,6,0.32614843500000001
jacobi-mpi-block-fortran,100,8,0.30016782399999997
jacobi-mpi-block-fortran,100,12,0.30822538300000002
jacobi-mpi-block-fortran,100,16,0.34378118800000002
jacobi-mpi-block-fortran,100,20,0.40590554200000001
jacobi-mpi-block-fortran,100,24,0.44177561700000001
jacobi-mpi-block-fortran,100,28,0.55484754800000002
jacobi-mpi-block-fortran,100,32,0.58954144200000003
jacobi-mpi-block-fortran,200,1,13.654607672999999
jacobi-mpi-block-fortran,200,2,6.9265080320000001
jacobi-mpi-block-fortran,200,4,3.6383905780000001
jacobi-mpi-block-fortran,200,6,2.6557496839999999
jacobi-mpi-block-fortran,200,8,2.1596401890000001
jacobi-mpi-block-fortran,200,12,1.7561212079999999
jacobi-mpi-block-fortran,200,16,1.7252282660000000
jacobi-mpi-block-fortran,200,20,1.7398969200000001
jacobi-mpi-block-fortran,200,24,1.8097254910000000
jacobi-mpi-block-fortran,200,28,1.9439161370000000
jacobi-mpi-block-fortran,200,32,2.1547384319999998
