Executable,Grid Size,MPI Ranks,Execution Time
jacobi-mpi-sendrecv-fortran,100,12,0.33779615100000004
jacobi-mpi-sendrecv-fortran,100,16,0.42535482999999996
jacobi-mpi-sendrecv-fortran,100,20,0.49252191699999998
jacobi-mpi-sendrecv-fortran,100,24,0.60059946200000003
jacobi-mpi-sendrecv-fortran,100,28,0.58468215000000001
jacobi-mpi-sendrecv-fortran,100,32,0.82303416299999999
jacobi-mpi-sendrecv-fortran,200,1,13.169901193999999
jacobi-mpi-sendrecv-fortran,200,2,6.7197345420000003
jacobi-mpi-sendrecv-fortran,200,4,3.5478736149999999
jacobi-mpi-sendrecv-fortran,200,6,2.6518794359999998
jacobi-mpi-sendrecv-fortran,200,8,2.2108497709999999
jacobi-mpi-sendrecv-fortran,200,12,1.8917119419999999
jacobi-mpi-sendrecv-fortran,200,16,1.8560986480000001
jacobi-mpi-sendrecv-fortran,200,20,1.9869185279999999
jacobi-mpi-sendrecv-fortran,200,24,2.2069736999999998
jacobi-mpi-sendrecv-fortran,200,28,2.2883780470000001
jacobi-mpi-sendrecv-fortran,200,32,2.4946553819999999
jacobi-mpi-sendrecv-fortran,300,1,52.763250221000000
jacobi-mpi-sendrecv-fortran,300,2,26.495885142999999
jacobi-mpi-sendrecv-fortran,300,4,13.927178929000000
jacobi-mpi-sendrecv-fortran,300,6,9.7916824330000001
jacobi-mpi-sendrecv-fortran,300,8,7.8966461780000001
jacobi-mpi-sendrecv-fortran,300,12,6.2067670310000000
jacobi-mpi-sendrecv-fortran,300,16,5.5877110390000002
jacobi-mpi-sendrecv-fortran,300,20,5.7912936950000002
jacobi-mpi-sendrecv-fortran,300,24,5.8102727080000003
jacobi-mpi-sendrecv-fortran,300,28,9.0100873430000004
jacobi-mpi-sendrecv-fortran,300,32,6.3992959730000001
